bSize,bCount,run,speed
4,8388608,0,5.03
4,8388608,1,4.85
4,8388608,2,4.53
4,8388608,3,4.80
4,8388608,4,4.78
4,8388608,5,4.67
4,8388608,6,4.80
4,8388608,7,4.99
4,8388608,8,4.70
4,8388608,9,4.94
8,8388608,0,9.31
8,8388608,1,9.80
8,8388608,2,9.39
8,8388608,3,9.83
8,8388608,4,9.66
8,8388608,5,9.33
8,8388608,6,9.39
8,8388608,7,9.59
8,8388608,8,9.20
8,8388608,9,9.69
16,8388608,0,18.62
16,8388608,1,17.97
16,8388608,2,18.07
16,8388608,3,17.84
16,8388608,4,17.70
16,8388608,5,17.49
16,8388608,6,17.57
16,8388608,7,16.97
16,8388608,8,16.81
16,8388608,9,17.13
32,8388608,0,35.55
32,8388608,1,35.65
32,8388608,2,35.73
32,8388608,3,35.20
32,8388608,4,31.31
32,8388608,5,30.48
32,8388608,6,29.92
32,8388608,7,30.03
32,8388608,8,29.90
32,8388608,9,29.37
64,8388608,0,57.59
64,8388608,1,56.07
64,8388608,2,57.24
64,8388608,3,55.81
64,8388608,4,53.91
64,8388608,5,53.56
64,8388608,6,52.83
64,8388608,7,52.48
64,8388608,8,51.74
64,8388608,9,53.47
128,4194304,0,103.46
128,4194304,1,105.69
128,4194304,2,107.91
128,4194304,3,109.07
128,4194304,4,110.19
128,4194304,5,110.05
128,4194304,6,110.47
128,4194304,7,112.99
128,4194304,8,113.50
128,4194304,9,113.75
