call,run,speed
lseek,0,2188649.40
getpid,0,24482900.20
getuid,0,2807478.40
fstat,0,1287010.40
lseek,1,2174851.80
getpid,1,24109607.40
getuid,1,2821406.00
fstat,1,1289887.80
lseek,2,2238133.00
getpid,2,24730877.40
getuid,2,2943130.00
fstat,2,1324327.60
lseek,3,2277879.60
getpid,3,25230920.80
getuid,3,2999161.60
fstat,3,1344805.40
lseek,4,2290552.60
getpid,4,24702916.80
getuid,4,2875475.00
fstat,4,1304588.80
lseek,5,2155687.80
getpid,5,23888628.00
getuid,5,2912392.60
fstat,5,1310544.40
lseek,6,2219521.80
getpid,6,24570727.20
getuid,6,2869733.80
fstat,6,1254150.80
lseek,7,2216830.80
getpid,7,24820632.60
getuid,7,2808779.83
fstat,7,1287584.00
lseek,8,2246289.80
getpid,8,24523012.20
getuid,8,2865847.00
fstat,8,1283444.91
lseek,9,2165107.60
getpid,9,23492657.80
getuid,9,2901306.80
fstat,9,1269197.00
